instance,solver,time_limit,runtime,obj
PCMAX_NU_1_1000_05_0,LPT,5.0,0.01,18806
PCMAX_NU_1_1000_05_0,SPS,5.0,0.11,18806
PCMAX_NU_1_1000_05_0,CPLEX,5.0,1.86,18802
PCMAX_NU_1_1000_05_1,LPT,5.0,0.00,18806
PCMAX_NU_1_1000_05_1,SPS,5.0,0.11,18806
PCMAX_NU_1_1000_05_1,CPLEX,5.0,1.34,18805
PCMAX_NU_1_1000_05_2,LPT,5.0,0.00,18807
PCMAX_NU_1_1000_05_2,SPS,5.0,0.09,18805
PCMAX_NU_1_1000_05_2,CPLEX,5.0,0.39,18802
PCMAX_NU_1_1000_05_3,LPT,5.0,0.00,18827
PCMAX_NU_1_1000_05_3,SPS,5.0,0.09,18826
PCMAX_NU_1_1000_05_3,CPLEX,5.0,0.88,18822
PCMAX_NU_1_1000_05_4,LPT,5.0,0.00,18814
PCMAX_NU_1_1000_05_4,SPS,5.0,0.06,18814
PCMAX_NU_1_1000_05_4,CPLEX,5.0,0.43,18813
PCMAX_NU_1_1000_05_5,LPT,5.0,0.00,18826
PCMAX_NU_1_1000_05_5,SPS,5.0,0.07,18826
PCMAX_NU_1_1000_05_5,CPLEX,5.0,0.32,18825
PCMAX_NU_1_1000_05_6,LPT,5.0,0.00,18810
PCMAX_NU_1_1000_05_6,SPS,5.0,0.09,18810
PCMAX_NU_1_1000_05_6,CPLEX,5.0,1.29,18808
PCMAX_NU_1_1000_05_7,LPT,5.0,0.00,18823
PCMAX_NU_1_1000_05_7,SPS,5.0,0.07,18821
PCMAX_NU_1_1000_05_7,CPLEX,5.0,0.71,18819
PCMAX_NU_1_1000_05_8,LPT,5.0,0.00,18823
PCMAX_NU_1_1000_05_8,SPS,5.0,0.07,18822
PCMAX_NU_1_1000_05_8,CPLEX,5.0,0.17,18821
PCMAX_NU_1_1000_05_9,LPT,5.0,0.00,18808
PCMAX_NU_1_1000_05_9,SPS,5.0,0.06,18808
PCMAX_NU_1_1000_05_9,CPLEX,5.0,0.20,18806
