instance,solver,time_limit,runtime,obj
PCMAX_NU_2_0050_25_9,TS1,180.0,1.40,1932
PCMAX_NU_2_1000_25_3,TS1,180.0,167.69,37664.6
PCMAX_NU_3_0010_05_9,TS1,180.0,0.21,19014
PCMAX_NU_3_0050_10_4,TS1,180.0,2.86,47079.3
PCMAX_NU_3_0100_25_0,TS1,180.0,13.92,37884.7
PCMAX_U_1_0010_05_3,TS1,180.0,0.20,125
PCMAX_U_1_0050_25_0,TS1,180.0,1.40,115
PCMAX_U_2_0050_25_7,TS1,180.0,1.43,1209
PCMAX_U_2_0100_25_4,TS1,180.0,6.01,1799.0
PCMAX_U_3_0100_25_4,TS1,180.0,10.63,20611.0
PCMAX_NU_2_0050_25_9,TS4,180.0,2.23,1932
PCMAX_NU_2_1000_25_3,TS4,180.0,103.08,37664.5
PCMAX_NU_3_0010_05_9,TS4,180.0,0.41,19014
PCMAX_NU_3_0050_10_4,TS4,180.0,3.89,47079.3
PCMAX_NU_3_0100_25_0,TS4,180.0,18.91,37885
PCMAX_U_1_0010_05_3,TS4,180.0,0.43,125
PCMAX_U_1_0050_25_0,TS4,180.0,2.25,115
PCMAX_U_2_0050_25_7,TS4,180.0,2.26,1209
PCMAX_U_2_0100_25_4,TS4,180.0,7.34,1799.0
PCMAX_U_3_0100_25_4,TS4,180.0,12.70,20611
PCMAX_NU_2_0050_25_9,TS6,180.0,3.06,1932
PCMAX_NU_2_1000_25_3,TS6,180.0,124.56,37664.5
PCMAX_NU_3_0010_05_9,TS6,180.0,0.59,19014
PCMAX_NU_3_0050_10_4,TS6,180.0,5.17,47079.3
PCMAX_NU_3_0100_25_0,TS6,180.0,20.89,37884.7
PCMAX_U_1_0010_05_3,TS6,180.0,0.58,125
PCMAX_U_1_0050_25_0,TS6,180.0,3.09,115
PCMAX_U_2_0050_25_7,TS6,180.0,3.08,1209
PCMAX_U_2_0100_25_4,TS6,180.0,9.46,1799
PCMAX_U_3_0100_25_4,TS6,180.0,16.5,20611
